study,dataset,trial,epochs,v_a_acc↑^,v_r_acc,state,heads*,layers*,h_dim,drop,lr*,a_pdrop*,bs,es_pat,e_pdrop*,hidden_size,shared_r_drop*,r_pdrop*,source_study,source_trial,n_state,obj_metric,fp,vset,bw,eval_freq,epoch,t_loss,t_a_acc,t_r_acc,v_loss,s/epch
large-merged,-,30,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,baseline-large-…,18,-,-,-,-,-,-,,,,,,
large-merged,-,31,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,baseline-large-…,19,-,-,-,-,-,-,,,,,,
baseline-large-emma-24-layers,-,1,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
baseline-standard-lr211-100epochs,-,0,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
baseline_small_hyperparameter_tuning,-,0,0,(no data),(no data),FAIL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
baseline_small_hyperparameter_tuning,small,1,0,(no data),(no data),RUNNING,1,3,256,-,3.21e-02,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,,,,,,
baseline_small_hyperparameter_tuning_rocm_upgrade,small,0,0,(no data),(no data),RUNNING,1,3,256,-,2.11e-01,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,,,,,,
compare2_small_structured_dropout,-,0,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
compare2_small_structured_dropout,-,4,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
large-23-layer-test,large,0,0,(no data),(no data),FAIL,2,24,-,-,2.87e-04,0.051,-,-,0.002,-,"{11.5: 1,...}",0.023,-,-,2,valid_action_ac…,1024,n1+n5,1,125,,,,,,
large-23-layer-test,-,1,0,(no data),(no data),FAIL,2,24,-,-,4.13e-04,0.008,-,-,0.000,-,-,0.221,-,-,-,-,-,-,-,-,,,,,,
large-23-layer-test2,large,1,0,(no data),(no data),RUNNING,2,24,-,-,1.80e-03,0.059,-,-,0.000,-,{1: 0},0.007,-,-,2,valid_action_ac…,1024,n1+n5,1,125,,,,,,
large-23-layer,-,6,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
large-23-layer,-,7,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
large-23-layer,-,8,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
large-23-layer,-,9,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
nodropout-sd,small,2,0,(no data),(no data),FAIL,3,2,256,-,8.57e-05,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,,,,,,
small-hypertune-paper,-,0,0,(no data),(no data),FAIL,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
small-hypertune-paper,large,1,0,(no data),(no data),RUNNING,2,18,256,-,3.92e-03,-,-,-,-,-,-,-,-,-,2,valid_route_acc…,1024,n1+n5,1,100,,,,,,
standard-v2-dropout-details,-,0,0,(no data),(no data),FAIL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
sunday-optuna-12trials-200epochs-4patience,small,0,0,(no data),(no data),FAIL,1,3,256,0.100,2.11e-01,-,-,-,-,-,-,-,-,-,2,-,1024,n1+n5,1,100,,,,,,
retrosynformer_hypertune,-,1,0,(no data),(no data),FAIL,2,26,256,0.170,9.81e-04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
